Gene name,chromosome,tss_loc,gene_symbol,gene_ensembl_id
ABCD1P4,HG1485_PATCH,359700,ABCD1P4,ENSG00000288394
ABCD1P5,2,91840601,ABCD1P5,ENSG00000214330
ABCD2,12,39619803,ABCD2,ENSG00000173208
ABCD3,1,94418389,ABCD3,ENSG00000117528
ABCD4,14,74303055,ABCD4,ENSG00000119688
ABCE1,4,145098288,ABCE1,ENSG00000164163
ABCF1,HSCHR6_MHC_COX_CTG1,1826463,ABCF1,ENSG00000236149
ABCF2,7,151227205,ABCF2,ENSG00000033050
ABCF2-H2BK1,7,151227166,ABCF2-H2BK1,ENSG00000285292
ABCF2P1,3,88317156,ABCF2P1,ENSG00000242159
ABCF2P2,7,72103181,ABCF2P2,ENSG00000228769
ABCF3,3,184186095,ABCF3,ENSG00000161204
ABCG1,21,42199689,ABCG1,ENSG00000160179
ABCG2,4,88231628,ABCG2,ENSG00000118777
ABCG4,11,119149052,ABCG4,ENSG00000172350
ABCG5,2,43838865,ABCG5,ENSG00000138075
ABCG8,2,43831942,ABCG8,ENSG00000143921
ABHD1,2,27123789,ABHD1,ENSG00000143994
ABHD10,3,111979010,ABHD10,ENSG00000144827
ABHD11,7,73738852,ABHD11,ENSG00000106077
ABHD12,20,25390835,ABHD12,ENSG00000100997
ABHD12B,14,50872053,ABHD12B,ENSG00000131969
ABHD13,13,108218392,ABHD13,ENSG00000139826
ABHD14A,3,51971426,ABHD14A,ENSG00000248487
ABHD14A-ACY1,3,51974706,ABHD14A-ACY1,ENSG00000114786
ABHD14B,3,51983409,ABHD14B,ENSG00000114779
ABHD15,17,29567037,ABHD15,ENSG00000168792
ABHD15-AS1,17,29560547,ABHD15-AS1,ENSG00000264031
ABHD16A,6,31703356,ABHD16A,ENSG00000204427
ABHD16B,20,63861498,ABHD16B,ENSG00000183260
ABHD17A,19,1885496,ABHD17A,ENSG00000129968
ABHD17AP1,1,148146395,ABHD17AP1,ENSG00000198658
ABHD17AP3,1,214608840,ABHD17AP3,ENSG00000250536
ABHD17AP4,22,20670984,ABHD17AP4,ENSG00000229107
ABHD17AP5,22,22118005,ABHD17AP5,ENSG00000263366
ABHD17AP6,17,20814620,ABHD17AP6,ENSG00000226981
ABHD17AP7,16,32729537,ABHD17AP7,ENSG00000260864
ABHD17AP8,16,32199902,ABHD17AP8,ENSG00000260540
ABHD17AP9,16,33140850,ABHD17AP9,ENSG00000261536
ABHD17B,9,71911193,ABHD17B,ENSG00000107362
ABHD17C,15,80679684,ABHD17C,ENSG00000136379
ABHD18,4,127965315,ABHD18,ENSG00000164074
ABHD2,15,89087459,ABHD2,ENSG00000140526
ABHD3,18,21704780,ABHD3,ENSG00000158201
ABHD4,14,22598290,ABHD4,ENSG00000100439
ABHD5,3,43690108,ABHD5,ENSG00000011198
ABHD6,3,58237532,ABHD6,ENSG00000163686
ABHD8,19,17310236,ABHD8,ENSG00000127220
ABI1,10,26861087,ABI1,ENSG00000136754
ABI1P1,14,55546674,ABI1P1,ENSG00000271484
ABI2,2,203328280,ABI2,ENSG00000138443
ABI3,17,49210411,ABI3,ENSG00000108798
ABI3BP,3,100993515,ABI3BP,ENSG00000154175
ABITRAM,9,108934400,ABITRAM,ENSG00000119328
ABITRAMP1,13,46270077,ABITRAMP1,ENSG00000251106
ABL1,9,130713043,ABL1,ENSG00000097007
ABL2,1,179229684,ABL2,ENSG00000143322
ABLIM1,10,114768061,ABLIM1,ENSG00000099204
ABLIM2,4,8158832,ABLIM2,ENSG00000163995
ABLIM3,5,149141483,ABLIM3,ENSG00000173210
ABO,HG2030_PATCH,133276024,ABO,ENSG00000281879
ABR,17,1229738,ABR,ENSG00000159842
ABR-AS1,17,226365,ABR-AS1,ENSG00000235361
ABRA,8,106770244,ABRA,ENSG00000174429
ABRACL,6,139028745,ABRACL,ENSG00000146386
ABRAXAS1,4,83523348,ABRAXAS1,ENSG00000163322
ABRAXAS1P1,3,100912175,ABRAXAS1P1,ENSG00000213431
ABRAXAS1P2,8,18089687,ABRAXAS1P2,ENSG00000253384
ABRAXAS2,10,124801819,ABRAXAS2,ENSG00000165660
ABT1,HSCHR6_1_CTG1,143151,ABT1,ENSG00000292169
ABT1P1,4,99023131,ABT1P1,ENSG00000250496
ABTB1,3,127672935,ABTB1,ENSG00000114626
ABTB2,11,34358010,ABTB2,ENSG00000166016
ABTB3,12,107318421,ABTB3,ENSG00000151136
ACAA1,3,38137242,ACAA1,ENSG00000060971
ACAA2,18,49813953,ACAA2,ENSG00000167315
ACAA2P1,X,48776970,ACAA2P1,ENSG00000233585
ACACA,17,37406836,ACACA,ENSG00000278540
ACACB,12,109116587,ACACB,ENSG00000076555
ACAD10,12,111686053,ACAD10,ENSG00000111271
ACAD11,3,132660082,ACAD11,ENSG00000240303
ACAD8,11,134253548,ACAD8,ENSG00000151498
ACAD9,3,128879596,ACAD9,ENSG00000177646
ACAD9-DT,3,128879590,ACAD9-DT,ENSG00000287110
ACADL,2,210225447,ACADL,ENSG00000115361
ACADM,1,75724431,ACADM,ENSG00000117054
ACADS,12,120725774,ACADS,ENSG00000122971
ACADSB,10,123008979,ACADSB,ENSG00000196177
ACADVL,17,7217125,ACADVL,ENSG00000072778
ACAN,15,88803436,ACAN,ENSG00000157766
ACAP1,HG2087_PATCH,94894,ACAP1,ENSG00000288169
ACAP2,3,195443044,ACAP2,ENSG00000114331
ACAP2-IT1,3,195282741,ACAP2-IT1,ENSG00000229325
ACAP3,1,1309609,ACAP3,ENSG00000131584
ACAT1,11,108116695,ACAT1,ENSG00000075239
ACAT2,6,159762045,ACAT2,ENSG00000120437
ACBD3,1,226186741,ACBD3,ENSG00000182827
ACBD3-AS1,1,226133245,ACBD3-AS1,ENSG00000234478
ACBD4,17,45132600,ACBD4,ENSG00000181513
ACBD5,10,27243046,ACBD5,ENSG00000107897
ACBD6,1,180502954,ACBD6,ENSG00000230124
ACBD7,10,15088776,ACBD7,ENSG00000176244
ACCS,11,44065925,ACCS,ENSG00000110455
ACCSL,11,44047981,ACCSL,ENSG00000205126
ACCSLP1,6,7342056,ACCSLP1,ENSG00000230570
ACD,16,67660810,ACD,ENSG00000102977
ACE,17,63477061,ACE,ENSG00000159640
ACE2,X,15607236,ACE2,ENSG00000130234
ACE2-DT,X,15602858,ACE2-DT,ENSG00000225833
ACE3P,17,63507056,ACE3P,ENSG00000224353
ACER1,19,6333612,ACER1,ENSG00000167769
ACER2,9,19409009,ACER2,ENSG00000177076
ACER2P1,HSCHR2_6_CTG7_2,206410909,ACER2P1,ENSG00000283169
ACER3,11,76860859,ACER3,ENSG00000078124
ACER3-AS1,11,77035684,ACER3-AS1,ENSG00000254988
ACHE,7,100896974,ACHE,ENSG00000087085
ACIN1,14,23095614,ACIN1,ENSG00000100813
ACKR1,1,159204875,ACKR1,ENSG00000213088
ACKR2,3,42804752,ACKR2,ENSG00000144648
ACKR3,2,236567787,ACKR3,ENSG00000144476
ACKR4,3,132597270,ACKR4,ENSG00000129048
ACKR4P1,6,138822747,ACKR4P1,ENSG00000225415
ACLY,17,41930542,ACLY,ENSG00000131473
ACMSD,2,134838616,ACMSD,ENSG00000153086
ACNATP,9,101339347,ACNATP,ENSG00000227411
ACO1,9,32384603,ACO1,ENSG00000122729
ACO2,22,41447830,ACO2,ENSG00000100412
ACO2P1,22,34591278,ACO2P1,ENSG00000235485
ACO2P2,1,236110061,ACO2P2,ENSG00000235371
ACOD1,13,76948511,ACOD1,ENSG00000102794
ACOT1,14,73537143,ACOT1,ENSG00000184227
ACOT11,1,54542257,ACOT11,ENSG00000162390
ACOT12,5,81394179,ACOT12,ENSG00000172497
ACOT13,6,24667035,ACOT13,ENSG00000112304
ACOT2,14,73567620,ACOT2,ENSG00000119673
ACOT4,14,73591873,ACOT4,ENSG00000177465
ACOT6,14,73610945,ACOT6,ENSG00000205669
ACOT7,1,6393767,ACOT7,ENSG00000097021
ACOT8,20,45857405,ACOT8,ENSG00000101473
ACOT9,X,23766475,ACOT9,ENSG00000123130
ACOX1,17,75979177,ACOX1,ENSG00000161533
ACOX2,3,58537283,ACOX2,ENSG00000168306
ACOX3,4,8440723,ACOX3,ENSG00000087008
ACOXL,2,110732539,ACOXL,ENSG00000153093
ACOXL-AS1,2,111116407,ACOXL-AS1,ENSG00000204581
ACP1,2,264140,ACP1,ENSG00000143727
ACP2,11,47248906,ACP2,ENSG00000134575
ACP3,3,132317369,ACP3,ENSG00000014257
ACP4,19,50790415,ACP4,ENSG00000142513
ACP5,19,11579993,ACP5,ENSG00000102575
ACP6,1,147670524,ACP6,ENSG00000162836
ACP7,19,39083913,ACP7,ENSG00000183760
ACR,HG1311_HG2539_PATCH,74316,ACR,ENSG00000291368
ACRBP,12,6647433,ACRBP,ENSG00000111644
ACRP1,2,113668621,ACRP1,ENSG00000175509
ACRV1,11,125680874,ACRV1,ENSG00000134940
ACSBG1,15,78245688,ACSBG1,ENSG00000103740
ACSBG2,19,6135247,ACSBG2,ENSG00000130377
ACSF2,17,50426158,ACSF2,ENSG00000167107
ACSF3,16,89088375,ACSF3,ENSG00000176715
ACSL1,4,184826818,ACSL1,ENSG00000151726
ACSL3,2,222860942,ACSL3,ENSG00000123983
ACSL3-AS1,2,222919363,ACSL3-AS1,ENSG00000234193
ACSL3P1,3,133760300,ACSL3P1,ENSG00000244062
ACSL4,X,109733403,ACSL4,ENSG00000068366
ACSL5,10,112374116,ACSL5,ENSG00000197142
ACSL6,5,132012243,ACSL6,ENSG00000164398
ACSL6-AS1,5,132003592,ACSL6-AS1,ENSG00000223548
ACSM1,16,20698890,ACSM1,ENSG00000166743
ACSM2A,16,20451461,ACSM2A,ENSG00000183747
ACSM2B,16,20576427,ACSM2B,ENSG00000066813
ACSM3,16,20610243,ACSM3,ENSG00000005187
ACSM4,12,7304072,ACSM4,ENSG00000215009
ACSM5,16,20409534,ACSM5,ENSG00000183549
ACSM5P1,16,20607107,ACSM5P1,ENSG00000260762
ACSM6,10,95194200,ACSM6,ENSG00000173124
ACSS1,20,25058980,ACSS1,ENSG00000154930
ACSS2,20,34872146,ACSS2,ENSG00000131069
ACSS3,12,80936414,ACSS3,ENSG00000111058
ACTA1,1,229434104,ACTA1,ENSG00000143632
ACTA2,10,88991339,ACTA2,ENSG00000107796
ACTA2-AS1,10,88932390,ACTA2-AS1,ENSG00000180139
ACTB,7,5563902,ACTB,ENSG00000075624
ACTBL2,5,57482811,ACTBL2,ENSG00000169067
ACTBP1,X,46289128,ACTBP1,ENSG00000229145
ACTBP11,1,223864851,ACTBP11,ENSG00000188460
ACTBP12,1,92229435,ACTBP12,ENSG00000233125
ACTBP14,10,69022778,ACTBP14,ENSG00000229001
ACTBP15,22,41075239,ACTBP15,ENSG00000213857
ACTBP16,3,180820544,ACTBP16,ENSG00000241473
ACTBP2,5,77784881,ACTBP2,ENSG00000213763
ACTBP4,5,131660115,ACTBP4,ENSG00000286676
ACTBP6,8,84948585,ACTBP6,ENSG00000203413
ACTBP7,15,43990184,ACTBP7,ENSG00000185607
ACTBP8,6,88276989,ACTBP8,ENSG00000220267
ACTBP9,18,62442028,ACTBP9,ENSG00000266920
ACTC1,15,34795589,ACTC1,ENSG00000159251
ACTE1P,11,71423730,ACTE1P,ENSG00000293435
ACTG1,HG1369_PATCH,81523847,ACTG1,ENSG00000291420
ACTG1P1,3,139493809,ACTG1P1,ENSG00000178631
ACTG1P10,X,53143913,ACTG1P10,ENSG00000231340
ACTG1P11,Y,18147884,ACTG1P11,ENSG00000229465
ACTG1P12,3,12070195,ACTG1P12,ENSG00000226642
ACTG1P13,3,99216266,ACTG1P13,ENSG00000241305
ACTG1P14,9,6834456,ACTG1P14,ENSG00000230581
ACTG1P15,15,34374603,ACTG1P15,ENSG00000259904
ACTG1P16,16,50059231,ACTG1P16,ENSG00000260298
ACTG1P17,15,82750503,ACTG1P17,ENSG00000293222
ACTG1P18,6,101431553,ACTG1P18,ENSG00000218475
ACTG1P19,9,100731240,ACTG1P19,ENSG00000237999
ACTG1P2,Y,17758125,ACTG1P2,ENSG00000229129
ACTG1P20,1,27325329,ACTG1P20,ENSG00000241547
ACTG1P21,1,77774864,ACTG1P21,ENSG00000232672
ACTG1P22,2,57764954,ACTG1P22,ENSG00000271615
ACTG1P23,3,175978570,ACTG1P23,ENSG00000230362
ACTG1P24,17,17242010,ACTG1P24,ENSG00000226359
ACTG1P25,1,202861713,ACTG1P25,ENSG00000293264
ACTG1P3,20,1160584,ACTG1P3,ENSG00000215388
ACTG1P4,1,103569553,ACTG1P4,ENSG00000236085
ACTG1P9,6,46204729,ACTG1P9,ENSG00000229349
ACTG2,2,73892314,ACTG2,ENSG00000163017
ACTL10,20,33666943,ACTL10,ENSG00000288649
ACTL11P,3,49877305,ACTL11P,ENSG00000234667
ACTL6A,3,179562886,ACTL6A,ENSG00000136518
ACTL6B,7,100656448,ACTL6B,ENSG00000077080
ACTL7A,9,108862266,ACTL7A,ENSG00000187003
ACTL7B,9,108855986,ACTL7B,ENSG00000148156
ACTL8,1,17755333,ACTL8,ENSG00000117148
ACTL9,19,8698795,ACTL9,ENSG00000181786
ACTMAP,19,40751553,ACTMAP,ENSG00000188493
ACTN1,14,68979440,ACTN1,ENSG00000072110
ACTN1-DT,14,68978862,ACTN1-DT,ENSG00000259062
ACTN2,1,236664141,ACTN2,ENSG00000077522
ACTN3,11,66546395,ACTN3,ENSG00000248746
ACTN4,HG26_PATCH,57285,ACTN4,ENSG00000282844
ACTN4P1,4,116598161,ACTN4P1,ENSG00000213493
ACTN4P2,1,37776670,ACTN4P2,ENSG00000214141
ACTP1,2,108099110,ACTP1,ENSG00000229890
ACTR10,14,58200080,ACTR10,ENSG00000131966
ACTR1A,10,102502712,ACTR1A,ENSG00000138107
ACTR1AP1,2,110184054,ACTR1AP1,ENSG00000233370
ACTR1B,HG2275_PATCH,97664044,ACTR1B,ENSG00000291597
ACTR2,2,65227788,ACTR2,ENSG00000138071
ACTR2P1,22,24686923,ACTR2P1,ENSG00000224334
ACTR2P2,19,20257720,ACTR2P2,ENSG00000213985
ACTR3,2,113890063,ACTR3,ENSG00000115091
ACTR3-AS1,2,113891064,ACTR3-AS1,ENSG00000228857
ACTR3B,7,152759749,ACTR3B,ENSG00000133627
ACTR3BP1,Y,11395699,ACTR3BP1,ENSG00000270242
ACTR3BP2,2,91940668,ACTR3BP2,ENSG00000226481
ACTR3BP3,16,32380049,ACTR3BP3,ENSG00000260327
ACTR3BP4,4,102961956,ACTR3BP4,ENSG00000249283
ACTR3BP5,10,369491,ACTR3BP5,ENSG00000227264
ACTR3BP6,HG1485_PATCH,458991,ACTR3BP6,ENSG00000288272
ACTR3BP7,22,11124337,ACTR3BP7,ENSG00000226444
ACTR3C,7,150323725,ACTR3C,ENSG00000106526
ACTR3P2,X,68771322,ACTR3P2,ENSG00000232267
ACTR3P3,3,101163094,ACTR3P3,ENSG00000242573
ACTR5,20,38748460,ACTR5,ENSG00000101442
ACTR6,12,100199122,ACTR6,ENSG00000075089
ACTR6P1,4,106837601,ACTR6P1,ENSG00000248915
ACTR8,3,53882152,ACTR8,ENSG00000113812
ACTRT1,X,128052403,ACTRT1,ENSG00000123165
ACTRT1P1,X,128128212,ACTRT1P1,ENSG00000235239
ACTRT2,1,3021467,ACTRT2,ENSG00000169717
ACTRT3,3,169769561,ACTRT3,ENSG00000184378
ACVR1,2,157876330,ACVR1,ENSG00000115170
ACVR1B,12,51951699,ACVR1B,ENSG00000135503
ACVR1C,2,157628864,ACVR1C,ENSG00000123612
ACVR2A,2,147844517,ACVR2A,ENSG00000121989
ACVR2B,3,38453890,ACVR2B,ENSG00000114739
ACVR2B-AS1,3,38454820,ACVR2B-AS1,ENSG00000229589
ACVRL1,12,51906908,ACVRL1,ENSG00000139567
ACY1,3,51983340,ACY1,ENSG00000243989
ACY3,11,67650730,ACY3,ENSG00000132744
ACYP1,14,75069483,ACYP1,ENSG00000119640
ACYP2,2,53970838,ACYP2,ENSG00000170634
ADA,20,44652252,ADA,ENSG00000196839
ADA2,22,17258235,ADA2,ENSG00000093072
ADAD1,4,122378966,ADAD1,ENSG00000164113
ADAD1P1,3,39285985,ADAD1P1,ENSG00000270367
ADAD1P2,18,50063795,ADAD1P2,ENSG00000267511
ADAD2,16,84191138,ADAD2,ENSG00000140955
ADAM10,15,58749791,ADAM10,ENSG00000137845
ADAM11,17,44758988,ADAM11,ENSG00000073670
ADAM12,10,126388477,ADAM12,ENSG00000148848
ADAM15,1,155050566,ADAM15,ENSG00000143537
ADAM17,2,9556732,ADAM17,ENSG00000151694
ADAM18,HSCHR8_9_CTG1,335123,ADAM18,ENSG00000278548
ADAM19,5,157575775,ADAM19,ENSG00000135074
ADAM1A,12,111899263,ADAM1A,ENSG00000229186
ADAM1B,12,111927018,ADAM1B,ENSG00000226469
ADAM2,HSCHR8_9_CTG1,39838227,ADAM2,ENSG00000276286
ADAM20,14,70535015,ADAM20,ENSG00000134007
ADAM20P1,14,70483775,ADAM20P1,ENSG00000290783
ADAM20P2,4,175574868,ADAM20P2,ENSG00000248574
ADAM20P3,4,187748199,ADAM20P3,ENSG00000249162
ADAM21,14,70417107,ADAM21,ENSG00000139985
ADAM21P1,14,70247801,ADAM21P1,ENSG00000235812
ADAM22,7,87934143,ADAM22,ENSG00000008277
ADAM23,2,206443532,ADAM23,ENSG00000114948
ADAM24P,8,17469518,ADAM24P,ENSG00000214607
ADAM28,8,24294069,ADAM28,ENSG00000042980
ADAM29,4,174829668,ADAM29,ENSG00000168594
ADAM30,1,119896515,ADAM30,ENSG00000134249
ADAM32,8,12673,ADAM32,ENSG00000197140
ADAM33,20,3682246,ADAM33,ENSG00000149451
ADAM3A,8,39522852,ADAM3A,ENSG00000293380
ADAM3B,16,49518601,ADAM3B,ENSG00000260089
ADAM5,8,39314591,ADAM5,ENSG00000196115
ADAM6,HSCHR14_3_CTG1,105972269,ADAM6,ENSG00000290516
ADAM7,8,24440930,ADAM7,ENSG00000069206
ADAM7-AS1,8,24912073,ADAM7-AS1,ENSG00000253535
ADAM7-AS2,8,24524887,ADAM7-AS2,ENSG00000253643
ADAM8,10,133276868,ADAM8,ENSG00000151651
ADAM9,8,7546,ADAM9,ENSG00000168615
ADAMDEC1,8,24384285,ADAMDEC1,ENSG00000134028
ADAMTS1,21,26845409,ADAMTS1,ENSG00000154734
ADAMTS10,19,8610735,ADAMTS10,ENSG00000142303
ADAMTS12,5,33892019,ADAMTS12,ENSG00000151388
ADAMTS13,9,240452,ADAMTS13,ENSG00000160323
ADAMTS14,10,70672506,ADAMTS14,ENSG00000138316
ADAMTS15,11,130448645,ADAMTS15,ENSG00000166106
ADAMTS16,5,5140330,ADAMTS16,ENSG00000145536
ADAMTS16-DT,5,5140808,ADAMTS16-DT,ENSG00000250579
ADAMTS17,15,100342005,ADAMTS17,ENSG00000140470
ADAMTS18,16,77435034,ADAMTS18,ENSG00000140873
ADAMTS19,5,129460281,ADAMTS19,ENSG00000145808
ADAMTS19-AS1,5,129466096,ADAMTS19-AS1,ENSG00000249421
ADAMTS2,5,179345461,ADAMTS2,ENSG00000087116
ADAMTS20,12,43552203,ADAMTS20,ENSG00000173157
ADAMTS3,4,72569221,ADAMTS3,ENSG00000156140
ADAMTS4,1,161199054,ADAMTS4,ENSG00000158859
ADAMTS5,21,26967088,ADAMTS5,ENSG00000154736
ADAMTS6,5,65481920,ADAMTS6,ENSG00000049192
ADAMTS7,15,78811464,ADAMTS7,ENSG00000136378
ADAMTS7P1,HSCHR15_5_CTG8,8576,ADAMTS7P1,ENSG00000281976
ADAMTS7P3,15,77976042,ADAMTS7P3,ENSG00000261143
ADAMTS7P4,15,85270892,ADAMTS7P4,ENSG00000218052
ADAMTS7P5,22,42794313,ADAMTS7P5,ENSG00000274717
ADAMTS8,11,130428609,ADAMTS8,ENSG00000134917
ADAMTS9,3,64688000,ADAMTS9,ENSG00000163638
ADAMTS9-AS1,3,64561322,ADAMTS9-AS1,ENSG00000241158
ADAMTS9-AS2,3,64684879,ADAMTS9-AS2,ENSG00000241684
ADAMTSL1,9,17906563,ADAMTSL1,ENSG00000178031
ADAMTSL2,9,133532164,ADAMTSL2,ENSG00000197859
ADAMTSL3,15,259882,ADAMTSL3,ENSG00000156218
ADAMTSL4,1,150549369,ADAMTSL4,ENSG00000143382
ADAMTSL4-AS1,1,150562115,ADAMTSL4-AS1,ENSG00000203804
ADAMTSL4-AS2,1,150557724,ADAMTSL4-AS2,ENSG00000237781
ADAMTSL5,19,1513604,ADAMTSL5,ENSG00000185761
ADAP1,7,955407,ADAP1,ENSG00000105963
ADAP2,17,30906344,ADAP2,ENSG00000184060
ADAR,1,154628013,ADAR,ENSG00000160710
ADARB1,21,45073853,ADARB1,ENSG00000197381
ADARB2,10,1737525,ADARB2,ENSG00000185736
ADARB2-AS1,10,1526584,ADARB2-AS1,ENSG00000205696
ADAT1,16,75623300,ADAT1,ENSG00000065457
ADAT2,6,143450695,ADAT2,ENSG00000189007
ADAT3,19,1905399,ADAT3,ENSG00000213638
ADCK1,14,77800109,ADCK1,ENSG00000063761
ADCK2,7,140672945,ADCK2,ENSG00000133597
ADCK5,HG2419_PATCH,103704,ADCK5,ENSG00000285451
ADCY1,7,45574140,ADCY1,ENSG00000164742
ADCY10,1,167914215,ADCY10,ENSG00000143199
ADCY10P1,6,41101022,ADCY10P1,ENSG00000290554
ADCY2,5,7396138,ADCY2,ENSG00000078295
ADCY3,2,24920237,ADCY3,ENSG00000138031
ADCY4,HG1_PATCH,24335093,ADCY4,ENSG00000284814
ADCY5,3,123449090,ADCY5,ENSG00000173175
ADCY6,12,48789089,ADCY6,ENSG00000174233
ADCY6-DT,12,48787978,ADCY6-DT,ENSG00000257660
ADCY7,16,50246137,ADCY7,ENSG00000121281
ADCY8,8,131040909,ADCY8,ENSG00000155897
ADCY9,16,4116442,ADCY9,ENSG00000162104
ADCYAP1,18,904871,ADCYAP1,ENSG00000141433
ADCYAP1R1,7,31052308,ADCYAP1R1,ENSG00000078549
ADD1,4,2843844,ADD1,ENSG00000087274
ADD2,2,70768225,ADD2,ENSG00000075340
ADD3,10,109996368,ADD3,ENSG00000148700
ADD3-AS1,10,110008393,ADD3-AS1,ENSG00000203876
ADGB,6,146598967,ADGB,ENSG00000118492
ADGB-DT,6,146598936,ADGB-DT,ENSG00000237468
ADGRA1,10,133087924,ADGRA1,ENSG00000197177
ADGRA1-AS1,10,133088491,ADGRA1-AS1,ENSG00000256925
